loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
29700,36 months,13.27,1004.58,C,6 years,MORTGAGE,141300,Not Verified,debt_consolidation,36.23,0,695,40.8,Charged Off
10400,36 months,10.0,335.58,B,2 years,RENT,32900,Verified,debt_consolidation,27.67,0,689,59.6,Charged Off
3200,36 months,11.23,105.11,B,4 years,MORTGAGE,51600,Source Verified,debt_consolidation,12.21,0,716,52.8,Fully Paid
40000,36 months,13.56,1358.57,C,10+ years,MORTGAGE,200300,Not Verified,home_improvement,12.68,0,696,44.7,Fully Paid
6200,36 months,5.52,187.27,A,3 years,MORTGAGE,197500,Not Verified,debt_consolidation,32.4,0,738,11.5,Fully Paid
10600,36 months,15.38,369.43,D,7 years,MORTGAGE,120000,Not Verified,debt_consolidation,18.8,0,705,55.0,Charged Off
17800,36 months,12.77,597.78,C,6 years,OWN,94000,Verified,debt_consolidation,10.83,0,697,50.5,Fully Paid
9600,36 months,11.26,315.48,C,10+ years,RENT,56300,Not Verified,debt_consolidation,22.28,0,708,60.4,Fully Paid
10100,36 months,12.82,339.43,C,10+ years,MORTGAGE,36400,Not Verified,debt_consolidation,17.16,0,703,61.7,Fully Paid
8600,36 months,11.33,282.9,B,3 years,RENT,60500,Not Verified,debt_consolidation,19.17,1,715,77.2,Fully Paid
12200,36 months,12.64,408.95,B,2 years,RENT,84900,Source Verified,debt_consolidation,31.73,0,701,95.4,Fully Paid
7600,36 months,23.79,297.33,F,10+ years,RENT,57500,Source Verified,credit_card,14.81,0,654,76.7,Fully Paid
28000,36 months,8.91,889.22,B,2 years,RENT,81600,Source Verified,debt_consolidation,9.09,1,734,60.0,Charged Off
8700,60 months,13.33,199.42,C,3 years,MORTGAGE,37000,Not Verified,debt_consolidation,15.06,0,697,39.5,Fully Paid
10500,60 months,7.39,209.85,A,3 years,MORTGAGE,55000,Verified,credit_card,19.77,0,756,75.1,Charged Off
15400,36 months,11.61,508.64,C,1 year,RENT,89600,Verified,credit_card,16.43,0,701,96.6,Charged Off
13700,36 months,8.98,435.53,B,5 years,OWN,139500,Not Verified,medical,18.03,0,720,78.8,Fully Paid
6200,60 months,20.94,167.52,E,10+ years,MORTGAGE,117300,Not Verified,debt_consolidation,18.1,0,669,41.6,Charged Off
14500,36 months,8.47,457.53,B,5 years,MORTGAGE,83800,Verified,debt_consolidation,4.19,0,728,45.8,Fully Paid
25100,36 months,11.07,822.57,B,5 years,RENT,130500,Not Verified,credit_card,13.81,0,705,34.3,Fully Paid
7400,36 months,6.25,225.96,A,2 years,MORTGAGE,60600,Verified,debt_consolidation,6.94,0,745,34.3,Fully Paid
4700,36 months,11.85,155.77,C,4 years,RENT,25100,Source Verified,other,35.8,0,706,63.1,Fully Paid
7200,36 months,15.51,251.39,D,10+ years,OWN,81700,Source Verified,debt_consolidation,19.86,0,675,65.5,Charged Off
19800,36 months,12.24,659.92,C,10+ years,MORTGAGE,174800,Not Verified,credit_card,31.47,1,702,74.1,Charged Off
8700,36 months,19.42,320.76,E,10+ years,RENT,143900,Verified,credit_card,27.16,0,670,50.6,Charged Off
40000,36 months,15.37,1393.87,C,2 years,RENT,60200,Not Verified,debt_consolidation,37.02,0,720,47.7,Fully Paid
17500,60 months,8.5,359.04,B,10+ years,MORTGAGE,66500,Verified,credit_card,12.68,0,709,54.2,Charged Off
17500,36 months,9.52,560.74,B,8 years,MORTGAGE,92800,Verified,credit_card,16.01,0,730,11.4,Fully Paid
21400,36 months,10.1,691.52,B,8 years,MORTGAGE,43100,Not Verified,home_improvement,49.24,0,717,74.6,Charged Off
9400,36 months,15.13,326.45,D,< 1 year,RENT,96000,Verified,debt_consolidation,13.24,0,687,31.2,Charged Off
9700,36 months,10.01,313.04,B,1 year,RENT,22100,Not Verified,home_improvement,29.28,1,737,51.9,Charged Off
8500,36 months,6.8,261.68,A,6 years,OWN,65200,Not Verified,debt_consolidation,18.66,2,752,37.7,Charged Off
8500,36 months,13.54,288.61,C,10+ years,RENT,55600,Not Verified,credit_card,23.13,0,696,,Fully Paid
6500,60 months,19.64,170.91,D,10+ years,MORTGAGE,63000,Not Verified,home_improvement,11.66,1,700,67.7,Charged Off
11200,36 months,20.01,416.29,E,10+ years,RENT,38600,Source Verified,debt_consolidation,8.54,0,672,58.5,Fully Paid
14200,36 months,5.97,431.8,A,2 years,MORTGAGE,61100,Not Verified,home_improvement,22.22,0,751,33.9,Fully Paid
22200,60 months,15.71,536.45,D,8 years,MORTGAGE,52500,Verified,credit_card,9.69,0,669,63.6,Fully Paid
14400,36 months,17.08,513.97,D,10+ years,MORTGAGE,62400,Not Verified,home_improvement,17.68,0,671,19.9,Fully Paid
3800,36 months,11.99,126.2,B,8 years,MORTGAGE,66700,Source Verified,debt_consolidation,17.82,0,720,51.9,Fully Paid
13900,60 months,16.19,339.43,D,3 years,MORTGAGE,80000,Verified,credit_card,5.17,1,684,61.4,Charged Off
19600,60 months,7.33,391.16,A,3 years,MORTGAGE,87700,Verified,credit_card,25.97,0,752,,Fully Paid
10000,36 months,10.32,324.18,B,10+ years,RENT,105300,Not Verified,credit_card,26.22,0,709,47.8,Charged Off
17600,36 months,20.04,654.44,D,4 years,RENT,88500,Source Verified,debt_consolidation,20.16,1,671,71.4,Charged Off
9700,36 months,14.24,332.65,C,10+ years,RENT,91600,Not Verified,debt_consolidation,8.0,1,719,26.4,Fully Paid
17300,60 months,15.92,419.97,D,10+ years,RENT,111300,Verified,credit_card,31.87,0,671,53.4,Charged Off
6200,36 months,18.75,226.48,D,10+ years,MORTGAGE,122000,Not Verified,debt_consolidation,6.77,1,689,58.0,Fully Paid
9200,60 months,14.0,214.07,D,4 years,MORTGAGE,67600,Verified,credit_card,17.1,0,671,69.3,Fully Paid
9100,36 months,11.28,299.13,C,6 years,RENT,101100,Source Verified,credit_card,33.19,0,716,77.6,Charged Off
13500,36 months,14.72,466.13,C,2 years,RENT,217500,Verified,credit_card,8.66,0,698,,Charged Off
3900,36 months,13.96,133.22,C,10+ years,MORTGAGE,102500,Not Verified,credit_card,15.44,0,690,45.2,Fully Paid
11100,60 months,7.47,222.26,A,8 years,RENT,62500,Source Verified,debt_consolidation,13.72,1,729,71.3,Charged Off
10100,36 months,8.9,320.71,B,10+ years,MORTGAGE,46200,Not Verified,credit_card,23.54,0,724,53.0,Charged Off
22500,60 months,15.77,544.41,D,10+ years,MORTGAGE,75000,Not Verified,debt_consolidation,27.61,0,698,39.5,Fully Paid
9100,36 months,25.51,364.27,G,7 years,MORTGAGE,73000,Verified,home_improvement,15.68,0,641,47.7,Charged Off
16800,60 months,13.67,388.04,C,4 years,MORTGAGE,81400,Verified,debt_consolidation,39.91,0,713,63.1,Charged Off
5200,36 months,11.63,171.8,B,< 1 year,OWN,68200,Source Verified,credit_card,11.64,0,714,62.6,Fully Paid
18800,60 months,14.02,437.64,C,10+ years,MORTGAGE,86400,Verified,major_purchase,10.11,0,704,40.5,Fully Paid
40000,60 months,23.11,1130.15,F,10+ years,RENT,50700,Not Verified,small_business,8.04,0,665,52.5,Charged Off
11400,36 months,9.66,366.03,B,10+ years,RENT,18700,Verified,debt_consolidation,15.86,0,727,35.6,Fully Paid
10200,60 months,20.59,273.6,E,10+ years,OWN,26900,Not Verified,debt_consolidation,20.79,1,662,47.7,Charged Off
17400,60 months,9.43,364.84,B,10+ years,MORTGAGE,97300,Verified,other,22.04,0,732,44.3,Charged Off
19000,36 months,12.03,631.34,C,10+ years,RENT,99600,Source Verified,debt_consolidation,23.45,0,700,62.4,Charged Off
24200,36 months,20.8,909.25,E,10+ years,RENT,53200,Source Verified,other,17.11,1,668,63.9,Fully Paid
10600,36 months,14.08,362.69,D,10+ years,MORTGAGE,125000,Not Verified,credit_card,21.39,0,708,47.2,Charged Off
21600,36 months,10.18,698.8,B,10+ years,RENT,78600,Not Verified,credit_card,17.59,0,717,42.0,Fully Paid
15600,36 months,8.42,491.88,A,2 years,RENT,112600,Not Verified,credit_card,21.21,1,743,71.1,Fully Paid
4700,36 months,13.34,159.13,C,10+ years,MORTGAGE,26700,Source Verified,debt_consolidation,19.82,0,684,49.4,Fully Paid
25100,60 months,14.86,595.28,D,3 years,MORTGAGE,85200,Verified,credit_card,26.35,0,670,,Charged Off
6800,36 months,12.68,228.07,C,10+ years,RENT,162600,Verified,debt_consolidation,22.74,0,683,31.2,Charged Off
9600,36 months,18.97,351.75,D,< 1 year,RENT,97500,Verified,debt_consolidation,14.57,0,671,39.3,Fully Paid
14700,60 months,6.8,289.69,A,2 years,MORTGAGE,146800,Verified,debt_consolidation,27.42,0,738,71.5,Charged Off
24800,36 months,22.85,958.06,E,< 1 year,RENT,38600,Verified,home_improvement,6.73,0,649,32.3,Charged Off
16500,36 months,20.06,613.7,D,3 years,MORTGAGE,50900,Source Verified,debt_consolidation,15.62,1,680,45.5,Fully Paid
21000,36 months,6.47,643.34,A,,MORTGAGE,94700,Source Verified,major_purchase,13.91,1,736,55.6,Fully Paid
28900,36 months,15.72,1012.05,C,10+ years,MORTGAGE,111700,Source Verified,debt_consolidation,11.39,0,706,47.9,Charged Off
7200,36 months,11.99,239.11,C,4 years,RENT,33900,Verified,credit_card,22.21,2,731,72.0,Fully Paid
6300,60 months,10.17,134.38,B,10+ years,RENT,120600,Not Verified,credit_card,6.88,0,714,38.8,Fully Paid
16200,36 months,9.89,521.89,B,10+ years,MORTGAGE,65300,Not Verified,other,19.41,0,719,51.2,Fully Paid
8000,36 months,12.24,266.63,C,4 years,MORTGAGE,22300,Not Verified,small_business,10.38,0,687,64.0,Charged Off
16700,36 months,8.74,529.04,B,< 1 year,MORTGAGE,36300,Not Verified,debt_consolidation,22.73,1,691,44.5,Charged Off
8900,36 months,7.33,276.15,A,5 years,MORTGAGE,77300,Verified,debt_consolidation,22.46,0,760,83.8,Charged Off
11400,36 months,13.92,389.18,C,3 years,MORTGAGE,108500,Not Verified,debt_consolidation,25.28,0,690,37.9,Fully Paid
10200,60 months,17.09,253.99,D,10+ years,RENT,141900,Source Verified,credit_card,10.43,1,698,90.3,Fully Paid
28500,60 months,17.78,720.31,D,8 years,RENT,63700,Not Verified,debt_consolidation,30.54,0,667,76.0,Charged Off
22400,36 months,15.35,780.35,D,10+ years,RENT,142400,Source Verified,debt_consolidation,10.55,0,673,54.8,Fully Paid
22600,36 months,21.05,852.04,E,1 year,RENT,15800,Source Verified,debt_consolidation,14.69,0,662,48.0,Charged Off
8400,60 months,7.1,166.73,A,10+ years,MORTGAGE,88700,Verified,debt_consolidation,26.95,1,763,30.9,Fully Paid
11800,36 months,6.57,362.03,A,10+ years,MORTGAGE,84600,Not Verified,debt_consolidation,30.12,0,743,70.0,Charged Off
11100,36 months,9.09,353.44,B,2 years,MORTGAGE,72800,Not Verified,debt_consolidation,23.52,0,730,10.4,Fully Paid
5200,36 months,5.9,157.96,A,10+ years,RENT,79500,Verified,debt_consolidation,15.76,0,743,91.8,Fully Paid
5800,36 months,7.37,180.07,A,10+ years,MORTGAGE,65100,Not Verified,home_improvement,14.83,0,740,70.6,Fully Paid
18900,36 months,15.88,663.35,D,4 years,MORTGAGE,51700,Verified,medical,18.51,0,658,57.9,Charged Off
8200,36 months,18.67,299.21,D,10+ years,RENT,83600,Not Verified,credit_card,16.66,0,702,45.7,Fully Paid
19400,36 months,7.68,605.07,A,10+ years,RENT,230100,Source Verified,major_purchase,17.69,0,752,22.5,Fully Paid
5700,36 months,9.24,181.9,B,4 years,MORTGAGE,51600,Source Verified,debt_consolidation,35.91,0,721,80.9,Charged Off
14300,36 months,12.01,475.03,B,10+ years,RENT,56200,Not Verified,debt_consolidation,7.91,1,729,50.1,Fully Paid
2300,36 months,12.35,76.78,C,10+ years,RENT,71600,Verified,home_improvement,26.66,0,691,51.3,Fully Paid
17200,36 months,7.46,534.71,A,3 years,MORTGAGE,52700,Not Verified,credit_card,19.9,1,730,39.0,Charged Off
40000,36 months,14.64,1379.57,D,10+ years,MORTGAGE,113900,Not Verified,debt_consolidation,25.01,0,688,44.4,Charged Off
12900,36 months,10.36,418.43,B,2 years,RENT,50500,Source Verified,debt_consolidation,21.86,0,709,51.5,Charged Off
16400,36 months,10.7,534.59,B,10+ years,OWN,87000,Source Verified,home_improvement,9.84,0,710,18.8,Fully Paid
8000,36 months,13.32,270.79,C,10+ years,MORTGAGE,56700,Not Verified,credit_card,15.09,0,711,57.2,Fully Paid
7300,36 months,6.36,223.27,A,5 years,RENT,37200,Verified,debt_consolidation,21.0,1,746,88.8,Charged Off
11600,36 months,12.79,389.68,C,5 years,MORTGAGE,93400,Not Verified,debt_consolidation,6.3,0,718,44.7,Fully Paid
4600,36 months,9.92,148.26,B,2 years,MORTGAGE,53700,Not Verified,debt_consolidation,17.48,0,710,54.6,Fully Paid
10800,36 months,16.28,381.19,D,10+ years,RENT,102400,Source Verified,debt_consolidation,13.46,1,714,67.2,Fully Paid
5800,36 months,14.77,200.41,C,1 year,MORTGAGE,114100,Verified,credit_card,10.3,0,720,82.6,Charged Off
10100,36 months,17.93,364.78,D,4 years,MORTGAGE,36600,Verified,credit_card,13.75,0,667,36.1,Charged Off
5300,36 months,18.23,192.22,D,10+ years,RENT,116400,Source Verified,credit_card,7.19,0,686,56.1,Charged Off
6900,36 months,20.73,259.0,E,5 years,RENT,57100,Verified,debt_consolidation,29.61,2,664,56.5,Charged Off
2100,36 months,15.13,72.93,C,10+ years,MORTGAGE,189500,Verified,credit_card,11.53,0,681,41.2,Charged Off
5000,36 months,10.62,162.8,B,7 years,RENT,101800,Not Verified,debt_consolidation,33.08,0,717,67.4,Charged Off
25700,36 months,9.6,824.45,B,10+ years,RENT,91700,Verified,credit_card,36.6,1,717,28.8,Charged Off
26100,60 months,16.08,635.81,C,4 years,MORTGAGE,94600,Source Verified,debt_consolidation,29.1,0,686,33.8,Fully Paid
6000,36 months,15.09,208.26,C,10+ years,MORTGAGE,99400,Not Verified,debt_consolidation,21.74,0,711,17.4,Fully Paid
7900,36 months,8.09,247.89,B,5 years,MORTGAGE,79800,Source Verified,debt_consolidation,22.23,0,726,33.1,Fully Paid
13700,36 months,17.01,488.51,D,10+ years,MORTGAGE,84800,Verified,debt_consolidation,15.06,1,712,73.3,Charged Off
34300,60 months,20.59,920.04,E,5 years,RENT,134700,Not Verified,home_improvement,28.59,0,663,35.2,Charged Off
13100,36 months,12.47,438.05,C,9 years,OWN,176500,Not Verified,debt_consolidation,12.25,0,687,,Fully Paid
3900,36 months,13.67,132.67,C,9 years,RENT,51100,Not Verified,major_purchase,17.88,1,716,,Fully Paid
10000,36 months,19.18,367.47,D,3 years,MORTGAGE,99400,Source Verified,debt_consolidation,2.9,0,678,63.9,Charged Off
6500,36 months,8.19,204.26,A,10+ years,RENT,51800,Source Verified,other,9.89,0,745,21.2,Fully Paid
19000,36 months,13.37,643.58,C,< 1 year,OWN,38400,Verified,debt_consolidation,7.27,0,710,23.6,Fully Paid
17800,36 months,9.64,571.35,B,10+ years,MORTGAGE,49000,Verified,credit_card,13.9,0,711,68.5,Charged Off
13400,36 months,5.71,405.9,A,4 years,RENT,129400,Verified,debt_consolidation,11.18,0,748,87.8,Fully Paid
5800,36 months,16.73,206.01,C,10+ years,RENT,39400,Source Verified,major_purchase,11.41,0,692,68.9,Charged Off
5800,60 months,9.67,122.29,B,1 year,MORTGAGE,80100,Verified,home_improvement,7.19,2,720,44.3,Charged Off
12400,60 months,12.49,278.91,C,10+ years,RENT,144200,Source Verified,credit_card,20.77,1,701,62.3,Charged Off
23500,60 months,14.21,549.37,C,8 years,MORTGAGE,43300,Verified,debt_consolidation,13.93,0,679,49.2,Fully Paid
20400,60 months,6.08,395.15,A,10+ years,OWN,86900,Verified,credit_card,18.37,0,746,9.6,Charged Off
11500,36 months,12.71,385.88,C,2 years,OWN,20100,Source Verified,home_improvement,15.15,0,731,34.5,Fully Paid
11800,36 months,13.14,398.38,D,5 years,MORTGAGE,119300,Not Verified,small_business,29.45,0,672,65.5,Fully Paid
13000,36 months,20.36,485.51,D,10+ years,RENT,55300,Not Verified,debt_consolidation,15.38,0,688,68.4,Fully Paid
5700,60 months,6.3,110.99,A,10+ years,RENT,38900,Not Verified,home_improvement,34.79,0,760,21.6,Fully Paid
16300,36 months,15.52,569.2,D,4 years,MORTGAGE,95300,Not Verified,major_purchase,15.8,1,692,18.5,Fully Paid
8000,36 months,12.33,266.98,C,5 years,MORTGAGE,39600,Not Verified,debt_consolidation,22.12,0,705,58.8,Fully Paid
8600,36 months,10.23,278.43,B,5 years,RENT,69000,Verified,other,40.82,0,721,12.9,Fully Paid
19500,36 months,11.49,642.94,C,1 year,MORTGAGE,36200,Source Verified,debt_consolidation,25.4,0,699,85.2,Charged Off
18900,36 months,12.51,632.36,C,10+ years,MORTGAGE,26900,Verified,small_business,13.12,0,707,69.5,Charged Off
7600,36 months,19.6,280.9,E,1 year,RENT,136700,Verified,credit_card,6.7,0,673,13.8,Fully Paid
9500,36 months,13.84,323.95,C,10+ years,MORTGAGE,96400,Not Verified,debt_consolidation,43.81,0,700,64.1,Charged Off
12000,60 months,16.84,297.2,D,9 years,MORTGAGE,48900,Not Verified,debt_consolidation,8.96,1,682,46.8,Charged Off
9400,36 months,8.42,296.39,B,10+ years,MORTGAGE,57700,Verified,debt_consolidation,22.12,1,710,54.3,Charged Off
12900,36 months,20.43,482.24,E,< 1 year,RENT,101100,Source Verified,other,7.03,0,673,84.1,Charged Off
3800,36 months,15.18,132.06,C,4 years,MORTGAGE,86500,Source Verified,credit_card,21.58,0,702,32.6,Charged Off
11600,36 months,14.01,396.52,C,3 years,RENT,59400,Not Verified,debt_consolidation,22.64,0,666,91.3,Fully Paid
8400,36 months,9.37,268.57,B,2 years,MORTGAGE,46600,Source Verified,debt_consolidation,27.73,0,710,53.2,Charged Off
9900,36 months,10.13,320.05,B,9 years,RENT,40100,Verified,debt_consolidation,15.55,1,704,86.3,Charged Off
13600,36 months,10.38,441.26,B,< 1 year,MORTGAGE,52200,Not Verified,debt_consolidation,12.77,0,726,59.9,Fully Paid
10100,36 months,18.43,367.32,D,10+ years,MORTGAGE,28000,Verified,debt_consolidation,12.33,0,691,45.6,Charged Off
8100,36 months,11.27,266.22,B,10+ years,RENT,131400,Source Verified,debt_consolidation,15.94,1,722,71.2,Charged Off
13800,36 months,15.33,480.61,D,10+ years,RENT,27400,Source Verified,debt_consolidation,21.09,1,695,72.4,Charged Off
31100,36 months,6.03,946.55,A,5 years,MORTGAGE,123200,Verified,debt_consolidation,19.45,0,740,41.1,Fully Paid
12800,60 months,7.29,255.21,A,10+ years,MORTGAGE,68700,Not Verified,debt_consolidation,19.34,0,743,59.5,Fully Paid
4500,36 months,12.83,151.25,B,2 years,RENT,128900,Verified,debt_consolidation,13.38,0,722,50.1,Charged Off
16400,60 months,10.91,355.84,B,6 years,MORTGAGE,125800,Verified,credit_card,11.0,0,717,85.2,Charged Off
14900,36 months,12.41,497.82,C,10+ years,RENT,46100,Verified,home_improvement,25.56,0,723,46.6,Fully Paid
5800,36 months,10.03,187.23,B,9 years,MORTGAGE,76600,Verified,major_purchase,25.1,0,698,61.9,Charged Off
17200,36 months,11.41,566.45,B,3 years,MORTGAGE,249800,Not Verified,credit_card,8.36,0,729,41.4,Fully Paid
6700,36 months,22.83,258.76,E,10+ years,MORTGAGE,42000,Source Verified,car,8.26,0,665,40.3,Charged Off
11700,60 months,17.42,293.42,D,10+ years,RENT,35000,Not Verified,credit_card,13.98,0,688,95.3,Charged Off
7500,36 months,7.25,232.44,A,4 years,RENT,59400,Verified,small_business,18.52,2,743,40.5,Fully Paid
8600,60 months,17.2,214.66,D,10+ years,MORTGAGE,166300,Verified,debt_consolidation,29.85,0,692,59.7,Fully Paid
8200,36 months,11.7,271.18,B,10+ years,OWN,112300,Not Verified,credit_card,10.83,0,705,29.0,Fully Paid
7300,36 months,6.72,224.47,A,7 years,MORTGAGE,154200,Not Verified,debt_consolidation,20.99,0,749,69.7,Fully Paid
4500,60 months,6.44,87.92,A,8 years,MORTGAGE,55600,Verified,home_improvement,11.9,1,757,33.8,Fully Paid
21700,36 months,18.99,795.33,E,10+ years,RENT,99100,Not Verified,debt_consolidation,26.68,1,656,54.9,Charged Off
8800,60 months,7.45,176.12,A,6 years,RENT,28400,Source Verified,credit_card,14.42,1,734,36.4,Fully Paid
39400,60 months,18.6,1013.41,D,10+ years,RENT,181400,Verified,debt_consolidation,34.46,0,681,13.6,Charged Off
7100,36 months,13.17,239.81,C,10+ years,MORTGAGE,77600,Verified,credit_card,17.33,0,706,42.8,Charged Off
11600,60 months,14.33,271.9,C,10+ years,RENT,32400,Source Verified,other,20.1,2,716,87.8,Charged Off
10200,36 months,19.67,377.36,E,2 years,MORTGAGE,72000,Not Verified,home_improvement,8.52,1,645,50.8,Charged Off
15300,36 months,22.95,591.86,F,10+ years,MORTGAGE,72600,Not Verified,credit_card,15.84,0,658,73.4,Charged Off
5100,36 months,19.33,187.8,E,7 years,RENT,79000,Not Verified,debt_consolidation,20.56,0,644,37.1,Charged Off
22300,60 months,15.74,539.22,C,8 years,MORTGAGE,93000,Source Verified,small_business,22.19,2,712,51.8,Charged Off
40000,60 months,14.29,936.75,C,10+ years,MORTGAGE,214900,Verified,credit_card,17.23,0,721,,Charged Off
24100,36 months,13.34,815.98,C,8 years,MORTGAGE,114400,Not Verified,credit_card,16.78,0,694,37.5,Fully Paid
13800,60 months,5.93,266.34,A,10+ years,MORTGAGE,22800,Source Verified,credit_card,17.97,0,732,70.3,Fully Paid
16600,60 months,13.38,380.94,C,5 years,MORTGAGE,29700,Verified,debt_consolidation,29.04,0,718,58.3,Fully Paid
7000,60 months,28.32,219.3,F,8 years,MORTGAGE,62300,Verified,debt_consolidation,16.4,1,649,77.1,Charged Off
23000,36 months,11.25,755.72,C,10+ years,MORTGAGE,24400,Verified,credit_card,19.93,1,702,85.1,Charged Off
10500,36 months,27.15,429.51,F,< 1 year,MORTGAGE,169500,Not Verified,debt_consolidation,15.98,0,651,19.6,Fully Paid
13000,36 months,6.95,401.11,A,10+ years,RENT,61300,Verified,car,9.8,0,745,29.2,Fully Paid
6700,36 months,10.93,219.13,B,10+ years,RENT,122500,Verified,car,17.41,0,713,15.5,Fully Paid
9200,36 months,11.62,303.9,C,9 years,MORTGAGE,46200,Source Verified,credit_card,20.98,1,700,61.7,Charged Off
13500,36 months,15.61,472.02,D,3 years,OWN,173900,Verified,credit_card,2.94,0,692,17.6,Charged Off
24700,36 months,30.0,1048.55,G,5 years,RENT,48900,Verified,debt_consolidation,20.83,0,648,84.9,Charged Off
22100,60 months,11.74,488.7,B,2 years,RENT,86500,Verified,major_purchase,26.62,0,701,27.7,Fully Paid
10000,60 months,9.78,211.39,B,,MORTGAGE,54100,Not Verified,debt_consolidation,22.66,1,702,52.9,Fully Paid
40000,36 months,17.67,1439.48,D,9 years,MORTGAGE,19900,Not Verified,credit_card,18.09,0,691,84.2,Fully Paid
7400,60 months,19.43,193.72,E,8 years,MORTGAGE,44100,Source Verified,debt_consolidation,25.83,0,682,42.2,Charged Off
38000,60 months,10.08,808.88,B,10+ years,OWN,93200,Not Verified,home_improvement,5.65,0,710,69.6,Charged Off
17000,36 months,15.33,592.06,D,8 years,RENT,104400,Verified,debt_consolidation,23.85,0,695,29.5,Charged Off
17600,36 months,14.39,604.87,D,< 1 year,RENT,117700,Source Verified,debt_consolidation,19.32,0,675,37.5,Charged Off
14200,36 months,13.49,481.81,C,< 1 year,RENT,55400,Source Verified,debt_consolidation,17.83,1,681,8.4,Charged Off
5900,36 months,16.71,209.5,D,10+ years,RENT,156600,Not Verified,debt_consolidation,4.12,1,704,65.3,Fully Paid
9200,36 months,13.13,310.56,C,,RENT,43800,Source Verified,credit_card,6.53,0,691,40.4,Fully Paid
15200,36 months,8.86,482.37,B,4 years,RENT,43500,Not Verified,debt_consolidation,13.97,0,699,57.4,Charged Off
6500,36 months,6.86,200.29,A,4 years,MORTGAGE,36200,Source Verified,debt_consolidation,23.58,1,732,91.1,Charged Off
5300,36 months,10.58,172.46,B,2 years,OWN,148200,Verified,credit_card,33.05,0,706,97.6,Charged Off
22000,36 months,10.89,719.11,B,9 years,MORTGAGE,51900,Source Verified,debt_consolidation,10.71,1,733,43.3,Fully Paid
7600,36 months,12.86,255.56,C,10+ years,MORTGAGE,153200,Verified,debt_consolidation,9.92,0,716,37.0,Fully Paid
6200,36 months,8.31,195.17,B,5 years,MORTGAGE,106900,Source Verified,debt_consolidation,11.06,0,718,51.3,Fully Paid
12300,60 months,30.0,397.95,G,7 years,MORTGAGE,68800,Verified,credit_card,9.82,0,630,60.9,Charged Off
40000,36 months,12.25,1333.35,B,8 years,MORTGAGE,67200,Verified,debt_consolidation,16.21,0,714,37.0,Fully Paid
7700,60 months,13.89,178.73,D,7 years,RENT,60900,Verified,debt_consolidation,11.35,0,686,39.7,Charged Off
10900,36 months,14.97,377.69,D,2 years,RENT,91400,Source Verified,debt_consolidation,9.37,0,681,79.8,Charged Off
25100,36 months,11.93,832.84,B,9 years,MORTGAGE,91500,Not Verified,debt_consolidation,12.0,0,716,31.8,Fully Paid
7700,36 months,12.15,256.3,B,10+ years,MORTGAGE,99500,Source Verified,car,2.38,1,735,39.5,Fully Paid
19500,36 months,15.32,679.03,C,2 years,RENT,70100,Not Verified,debt_consolidation,20.22,0,702,67.1,Charged Off
5500,36 months,19.78,203.78,E,10+ years,MORTGAGE,66100,Not Verified,credit_card,27.7,1,666,41.6,Charged Off
20400,36 months,29.84,864.23,G,2 years,RENT,66400,Not Verified,major_purchase,14.74,0,673,65.0,Charged Off
9700,36 months,15.63,339.25,C,7 years,OWN,35300,Source Verified,debt_consolidation,23.73,0,700,66.6,Charged Off
9900,36 months,11.89,328.3,C,3 years,OWN,165700,Not Verified,debt_consolidation,35.65,0,676,62.6,Charged Off
15600,60 months,12.17,348.36,C,3 years,MORTGAGE,48900,Verified,debt_consolidation,32.2,0,694,56.2,Fully Paid
7200,36 months,16.33,254.31,D,10+ years,RENT,139900,Not Verified,debt_consolidation,14.31,0,684,36.1,Fully Paid
10300,60 months,18.13,262.28,D,10+ years,RENT,69900,Not Verified,debt_consolidation,14.37,0,677,66.6,Charged Off
19100,36 months,9.53,612.1,B,2 years,OWN,90000,Verified,other,25.98,0,709,39.3,Fully Paid
30000,36 months,24.38,1182.98,F,10+ years,MORTGAGE,102400,Verified,debt_consolidation,17.97,1,670,31.9,Fully Paid
6400,36 months,18.55,233.14,E,1 year,MORTGAGE,20100,Source Verified,credit_card,24.78,1,669,37.2,Charged Off
16500,36 months,15.18,573.43,C,3 years,MORTGAGE,79900,Not Verified,debt_consolidation,34.73,0,701,53.7,Charged Off
5300,60 months,17.01,131.75,D,1 year,RENT,46900,Not Verified,debt_consolidation,30.52,0,693,27.4,Charged Off
11200,36 months,8.34,352.73,B,4 years,MORTGAGE,102300,Not Verified,debt_consolidation,29.16,0,702,69.8,Fully Paid
9800,36 months,24.66,387.89,F,10+ years,MORTGAGE,44100,Not Verified,credit_card,22.52,1,654,36.0,Charged Off
7100,36 months,18.48,258.39,D,10+ years,MORTGAGE,63400,Source Verified,major_purchase,21.12,0,684,58.2,Charged Off
20800,36 months,17.23,743.96,E,1 year,MORTGAGE,318500,Source Verified,home_improvement,20.79,0,675,66.0,Charged Off
19500,36 months,8.49,615.48,A,< 1 year,RENT,49200,Source Verified,debt_consolidation,35.94,2,728,59.2,Fully Paid
5000,60 months,8.19,101.84,B,1 year,MORTGAGE,73200,Verified,credit_card,39.93,1,699,44.7,Fully Paid
26500,60 months,18.32,677.55,E,10+ years,MORTGAGE,47000,Source Verified,debt_consolidation,26.14,1,659,69.6,Charged Off
